Sample in Buffer,Sample in Window,TRIGGER,test_i/DataPath_xN_0/U0/coreArea_0_core/sample/cnt[14:0],test_i/DataPath_xN_0/U0/coreArea_0_core/scalarOutCnt[14:0],test_i/DataPath_xN_0/U0/coreArea_0_core/busIn/io_bus_payload_last,test_i/DataPath_xN_0/U0/coreArea_0_core/sample/logitsIn_valid,test_i/DataPath_xN_0/U0/coreArea_0_core/engine/scalarOut_tvalid,test_i/DataPath_xN_0/U0/coreArea_0_core/busIn/wkvFire
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
511,511,0,0,7d00,0,0,0,1
512,512,0,0,7d00,0,0,0,1
513,513,0,0,7d00,0,0,0,1
514,514,0,0,7d00,0,0,0,1
515,515,0,0,7d00,0,0,0,1
516,516,0,0,7d00,0,0,0,1
517,517,0,0,7d00,0,0,0,1
518,518,0,0,7d00,0,0,0,1
519,519,0,0,7d00,0,0,0,1
520,520,0,0,7d00,0,0,0,1
521,521,0,0,7d00,0,0,0,1
522,522,0,0,7d00,0,0,0,1
523,523,0,0,7d00,0,0,0,1
524,524,0,0,7d00,0,0,0,1
525,525,0,0,7d00,0,0,0,1
526,526,0,0,7d00,0,0,0,1
527,527,0,0,7d00,0,0,0,1
528,528,0,0,7d00,0,0,0,1
529,529,0,0,7d00,0,0,0,1
530,530,0,0,7d00,0,0,0,1
531,531,0,0,7d00,0,0,0,1
532,532,0,0,7d00,0,0,0,1
533,533,0,0,7d00,0,0,0,1
534,534,0,0,7d00,0,0,0,1
535,535,0,0,7d00,0,0,0,1
536,536,0,0,7d00,0,0,0,1
537,537,0,0,7d00,0,0,0,1
538,538,0,0,7d00,0,0,0,1
539,539,0,0,7d00,0,0,0,1
540,540,0,0,7d00,0,0,0,1
541,541,0,0,7d00,0,0,0,1
542,542,0,0,7d00,0,0,0,1
543,543,0,0,7d00,0,0,0,1
544,544,0,0,7d00,0,0,0,1
545,545,0,0,7d00,0,0,0,1
546,546,0,0,7d00,0,0,0,1
547,547,0,0,7d00,0,0,0,1
548,548,0,0,7d00,0,0,0,1
549,549,0,0,7d00,0,0,0,1
550,550,0,0,7d00,0,0,0,1
551,551,0,0,7d00,0,0,0,1
552,552,0,0,7d00,0,0,0,1
553,553,0,0,7d00,0,0,0,1
554,554,0,0,7d00,0,0,0,1
555,555,0,0,7d00,0,0,0,1
556,556,0,0,7d00,0,0,0,1
557,557,0,0,7d00,0,0,0,1
558,558,0,0,7d00,0,0,0,1
559,559,0,0,7d00,0,0,0,1
560,560,0,0,7d00,0,0,0,1
561,561,0,0,7d00,0,0,0,1
562,562,0,0,7d00,0,0,0,1
563,563,0,0,7d00,0,0,0,1
564,564,0,0,7d00,0,0,0,1
565,565,0,0,7d00,0,0,0,1
566,566,0,0,7d00,0,0,0,1
567,567,0,0,7d00,0,0,0,1
568,568,0,0,7d00,0,0,0,1
569,569,0,0,7d00,0,0,0,1
570,570,0,0,7d00,0,0,0,1
571,571,0,0,7d00,0,0,0,1
572,572,0,0,7d00,0,0,0,1
573,573,0,0,7d00,0,0,0,1
574,574,0,0,7d00,0,0,0,1
575,575,0,0,7d00,0,0,0,1
576,576,0,0,7d00,0,0,0,1
577,577,0,0,7d00,0,0,0,1
578,578,0,0,7d00,0,0,0,1
